0.03333,5.00000,0.10032,-0.42822,0.47894,1.78157,0.00417,-5.26444,-0.06945,61.33985,0.00000,0.00000,1.00000,0.00000,0.95000,0.00150,0.00000,0.45000,0.10000,1.05000,1.08000,0.16000,0.50000,0.03400,0.54000,0.00000,0.00000,0.00000,0.94000,-1.00000,0.00000,1.00000,0.00000,1.00000,17.00000,0.00000,1.06000,0.30000,1.00000,1.00000,0.00000,0.00000,0.00000,0.00000,40.00000,18.00000
0.06667,5.00000,0.11928,-0.50915,0.56946,1.80053,-0.07676,-5.17392,-0.06945,61.33985,0.00000,-0.00000,1.00000,0.00000,0.95000,0.00150,0.00000,0.45000,0.10000,1.05000,1.08000,0.16000,0.50000,0.03400,0.54000,0.00000,0.00000,0.00000,0.94000,-1.00000,0.00000,1.00000,0.00000,0.93939,17.00000,0.00000,1.06000,0.30000,1.00000,1.00000,0.00000,0.00000,0.00000,0.00000,40.00000,18.00000
0.10000,5.00000,0.13824,-0.59008,0.65998,1.81949,-0.15770,-5.08340,-0.06945,61.33985,-0.00000,-0.00000,1.00000,0.00000,0.95000,0.00150,0.00000,0.45000,0.10000,1.05000,1.08000,0.16000,0.50000,0.03400,0.54000,0.00000,0.00000,0.00000,0.94000,-1.00000,0.00000,1.00000,0.00000,0.87879,17.00000,0.00000,1.06000,0.30000,1.00000,1.00000,0.00000,0.00000,0.00000,0.00000,40.00000,18.00000
0.13333,5.00000,0.15720,-0.67101,0.75050,1.83845,-0.23863,-4.99288,-0.07016,61.33985,-0.00000,0.00000,1.00000,0.00000,0.95000,0.00150,0.00000,0.45000,0.10000,1.05000,1.08000,0.16000,0.50000,0.03400,0.54000,0.00000,0.00000,0.00000,0.94000,-1.00000,0.00000,1.00000,0.00000,0.81818,17.00000,0.00000,1.06000,0.30000,1.00000,1.00000,0.00000,0.00000,0.00000,0.00000,40.00000,18.00000
0.16667,5.00000,0.17616,-0.75195,0.84102,1.85741,-0.31956,-4.90237,-0.07177,61.33985,0.00000,-0.00000,1.00000,0.00000,0.95000,0.00150,0.00000,0.45000,0.10000,1.05000,1.08000,0.16000,0.50000,0.03400,0.54000,0.00000,0.00000,0.00000,0.94000,-1.00000,0.00000,1.00000,0.00000,0.75758,17.00000,0.00000,1.06000,0.30000,1.00000,1.00000,0.00000,0.00000,0.00000,0.00000,40.00000,18.00000
0.20000,5.00000,0.19512,-0.83288,0.93154,1.87637,-0.40049,-4.81185,-0.07339,61.33985,-0.00000,0.00000,1.00000,0.00000,0.95000,0.00150,0.00000,0.45000,0.10000,1.05000,1.08000,0.16000,0.50000,0.03400,0.54000,0.00000,0.00000,0.00000,0.94000,-1.00000,0.00000,1.00000,0.00000,0.69697,17.00000,0.00000,1.06000,0.30000,1.00000,1.00000,0.00000,0.00000,0.00000,0.00000,40.00000,18.00000
0.23333,5.00000,0.21409,-0.91381,1.02206,1.89533,-0.48142,-4.72133,-0.07501,61.33985,0.00000,0.00000,1.00000,0.00000,0.95000,0.00150,0.00000,0.45000,0.10000,1.05000,1.08000,0.16000,0.50000,0.03400,0.54000,0.00000,0.00000,0.00000,0.94000,-1.00000,0.00000,1.00000,0.00000,0.63636,17.00000,0.00000,1.06000,0.30000,1.00000,1.00000,0.00000,0.00000,0.00000,0.00000,40.00000,18.00000
0.26667,5.00000,0.23305,-0.99474,1.11258,1.91429,-0.56236,-4.63081,-0.07662,61.33985,0.00000,-0.00000,1.00000,0.00000,0.95000,0.00150,0.00000,0.45000,0.10000,1.05000,1.08000,0.16000,0.50000,0.03400,0.54000,0.00000,0.00000,0.00000,0.94000,-1.00000,0.00000,1.00000,0.00000,0.57576,17.00000,0.00000,1.06000,0.30000,1.00000,1.00000,0.00000,0.00000,0.00000,0.00000,40.00000,18.00000
0.30000,5.00000,0.25201,-1.07568,1.20310,1.93325,-0.64329,-4.54029,-0.07824,61.33985,-0.00000,0.00000,1.00000,0.00000,0.95000,0.00150,0.00000,0.45000,0.10000,1.05000,1.08000,0.16000,0.50000,0.03400,0.54000,0.00000,0.00000,0.00000,0.94000,-1.00000,0.00000,1.00000,0.00000,0.51515,17.00000,0.00000,1.06000,0.30000,1.00000,1.00000,0.00000,0.00000,0.00000,0.00000,40.00000,18.00000
0.33333,5.00000,0.27097,-1.15661,1.29362,1.95221,-0.72422,-4.44977,-0.07985,61.33985,0.00000,-0.00000,1.00000,0.00000,0.95000,0.00150,0.00000,0.45000,0.10000,1.05000,1.08000,0.16000,0.50000,0.03400,0.54000,0.00000,0.00000,0.00000,0.94000,-1.00000,0.00000,1.00000,0.00000,0.45455,17.00000,0.00000,1.06000,0.30000,1.00000,1.00000,0.00000,0.00000,0.00000,0.00000,40.00000,18.00000
